title,description,date,location_name,lat,lng,tags,is_fictional
Space Shuttle Columbia Disaster,"On February 1, 2003, Space Shuttle Columbia disintegrated during re-entry, killing all seven crew members. Foam insulation shed during launch had damaged the thermal protection tiles on the left wing. The Columbia Accident Investigation Board found that NASA's organisational culture and decision-making processes were as much a cause as the physical failure.",February 1 2003,"Kennedy Space Center, Florida, USA",28.5729,-80.6490,"space,nasa,columbia,engineering",false
Chernobyl Nuclear Disaster,"On April 26, 1986, reactor No. 4 at the Chernobyl Nuclear Power Plant exploded during a safety test, releasing massive quantities of radioactive material across Europe. The disaster was the result of a flawed reactor design operated by inadequately trained personnel — and a culture in which safety concerns were systematically suppressed.",April 26 1986,"Chernobyl, Ukrainian SSR",51.3890,30.0993,"nuclear,soviet,chernobyl,radiation",false
Bhopal Gas Tragedy,"In the early hours of December 3, 1984, a Union Carbide pesticide plant in Bhopal, India, leaked methyl isocyanate gas into densely populated neighbourhoods, killing thousands immediately and tens of thousands in subsequent years. It remains the world's worst industrial disaster, and the causes — deferred maintenance, cost-cutting, and inadequate safety systems — were entirely preventable.",December 3 1984,"Bhopal, Madhya Pradesh, India",23.2599,77.4126,"industrial,chemical,india,union-carbide",false
Tenerife Airport Disaster,"On March 27, 1977, two Boeing 747s collided on the runway at Los Rodeos Airport in Tenerife, killing 583 people in the deadliest aviation accident in history. KLM Flight 4805 began its take-off run without clearance while Pan Am Flight 1736 was still on the runway. Fog, radio congestion, and miscommunication combined into catastrophe.",March 27 1977,"Los Rodeos Airport, Tenerife, Spain",28.4827,-16.3413,"aviation,runway,collision,tenerife",false
Deepwater Horizon,"On April 20, 2010, the Deepwater Horizon oil rig exploded in the Gulf of Mexico, killing 11 workers and triggering the largest accidental marine oil spill in history. Investigations found a series of cost-cutting decisions and failed safety barriers, along with regulatory failures by the Minerals Management Service.",April 20 2010,"Gulf of Mexico, USA",28.7366,-88.3666,"oil,spill,offshore,bp,gulf",false
Piper Alpha Disaster,"On July 6, 1988, explosions and fires destroyed the Piper Alpha oil platform in the North Sea, killing 167 of the 228 people on board. A failure of the permit-to-work system allowed workers to restart a pump whose safety valve had been removed for maintenance. The Cullen Inquiry led to sweeping reforms in offshore safety regulation.",July 6 1988,"North Sea, UK",58.4700,0.2400,"offshore,oil,fire,explosion,north-sea",false
Air France Flight 447,"On June 1, 2009, Air France Flight 447 crashed into the Atlantic Ocean, killing all 228 on board. The aircraft's pitot tubes iced over, causing the autopilot to disengage. The crew responded incorrectly to the resulting stall. The accident exposed deep problems with how automation shapes pilot skills and situational awareness.",June 1 2009,"Atlantic Ocean",2.9800,-30.5900,"aviation,airbus,stall,automation,atlantic",false
Rana Plaza Collapse,"On April 24, 2013, the Rana Plaza building in Dhaka, Bangladesh, collapsed, killing 1,134 garment workers. Cracks had been visible the day before; building managers sent workers home, but garment factory owners ordered staff back in. The disaster exposed the human cost of fast fashion supply chains and their oversight failures.",April 24 2013,"Savar, Dhaka, Bangladesh",23.8759,90.2666,"structural,collapse,garment,bangladesh,supply-chain",false
Hyatt Regency Walkway Collapse,"On July 17, 1981, two suspended walkways in the atrium of the Hyatt Regency Kansas City collapsed during a crowded dance event, killing 114 people and injuring more than 200. A last-minute design change to the hanger rod configuration had doubled the load on the fourth-floor walkway connection. Engineers had approved drawings without catching the error.",July 17 1981,"Kansas City, Missouri, USA",39.1017,-94.5786,"structural,engineering,hotel,collapse,walkway",false
Triangle Shirtwaist Factory Fire,"On March 25, 1911, a fire at the Triangle Shirtwaist Company in New York City killed 146 garment workers, most of them young immigrant women. Exits were locked to prevent unauthorised breaks. The disaster galvanised the US labour movement and led directly to major workplace safety legislation.",March 25 1911,"New York City, New York, USA",40.7246,-74.0055,"fire,labour,garment,new-york,safety",false
Titanic Sinking,"On April 15, 1912, RMS Titanic sank after striking an iceberg on its maiden voyage, killing over 1,500 people. The disaster combined overconfidence in the ship's design, insufficient lifeboats, and poor lifeboat procedures. Wireless operator failures and the culture of the era meant warnings were ignored and responses were delayed.",April 15 1912,"North Atlantic Ocean",41.7260,-49.9480,"maritime,shipping,iceberg,atlantic",false
Tacoma Narrows Bridge Collapse,"On November 7, 1940, the Tacoma Narrows suspension bridge in Washington State dramatically collapsed due to aeroelastic flutter — a resonance effect from wind. The bridge had been built too lightweight and flexible. The collapse fundamentally changed how engineers design suspension bridges and is now a staple of engineering education.",November 7 1940,"Tacoma, Washington, USA",47.2690,-122.5510,"structural,bridge,engineering,resonance",false
Herald of Free Enterprise,"On March 6, 1987, the car ferry Herald of Free Enterprise capsized just outside Zeebrugge harbour, Belgium, killing 193 people. The bow doors had been left open when the ship departed. The subsequent inquiry coined the term 'organisational accident' and found systemic failures at every level of P&O Ferries.",March 6 1987,"Zeebrugge, Belgium",51.3430,3.1830,"maritime,ferry,capsizing,belgium",false
King's Cross Fire,"On November 18, 1987, a fire in a wooden escalator at King's Cross St Pancras Underground station in London killed 31 people. Investigators found that London Underground had systematically ignored fire risks for years, and that a flash-fire phenomenon — the trench effect — was not understood until the disaster itself.",November 18 1987,"London, United Kingdom",51.5308,-0.1238,"fire,underground,london,rail,escalator",false
Eschede Train Disaster,"On June 3, 1998, a German ICE high-speed train derailed near Eschede after a wheel tyre fractured, killing 101 people in Germany's deadliest post-war rail accident. The tyre had developed a fatigue crack that went undetected. The accident prompted global re-evaluation of wheel inspection procedures for high-speed rail.",June 3 1998,"Eschede, Germany",52.7750,10.2470,"rail,high-speed,derailment,germany",false
